batches,log_likelihood
0,-13.477720301774552
20000,-46.15407319647586
40000,-50.51602143735856
60000,-49.93244515550188
80000,-50.21868758469505
100000,-50.61332376666577
110000,-39.51422581331494
120000,-47.17143563499222
130000,-39.747997868472396
140000,-42.53496415355565
150000,-31.46090373187034
160000,-30.692863369740977
170000,-35.046468711979486
180000,-35.519249151778396
190000,-31.740493019307916
200000,-37.139626175144556
210000,-34.09197291539175
220000,-29.794458792641734
230000,-25.934444224462588
240000,-36.08361703557337
250000,-28.54497042718982
300000,-28.930727175291125
400000,-30.98543885736995
450000,-27.74078929220985
500000,-27.394780092606098
