batches,log_likelihood,neg_log_likelihood
0,-14.286055012795451,14.286055012795451
20000,-36.236557157282064,36.236557157282064
40000,-75.12161646263448,75.12161646263448
60000,-92.63870008710613,92.63870008710613
80000,-89.21210330429285,89.21210330429285
100000,-82.71413417861122,82.71413417861122
110000,-82.40349398771853,82.40349398771853
120000,-73.10621765265834,73.10621765265834
130000,-94.1133548385055,94.1133548385055
140000,-67.52976682131967,67.52976682131967
150000,-73.63531266490335,73.63531266490335
160000,-69.44318283188281,69.44318283188281
170000,-68.91471525623265,68.91471525623265
180000,-74.47468437306733,74.47468437306733
190000,-77.4561762737646,77.4561762737646
200000,-73.27291050843463,73.27291050843463
210000,-60.870774872248305,60.870774872248305
220000,-64.07884007825366,64.07884007825366
230000,-74.3641833452963,74.3641833452963
240000,-71.95444700789145,71.95444700789145
250000,-70.49211772247301,70.49211772247301
300000,-60.33169302029517,60.33169302029517
